artist,title,year,release_id,instance_id
Eminem,Recovery,2010,5989107,5989107
The Beatles,Abbey Road,1969,28282912,28282912
Ringo Starr,Ringo,1973,3337601,3337601
Ed Sheeran,X,2016,18127987,18127987
Ed Sheeran,÷ (Divide),2017,9917395,9917395
Ed Sheeran,= (Equals),2021,21130402,21130402
Ed Sheeran,+,2011,3129886,3129886
Bruno Mars,Unorthodox Jukebox,2012,4314139,4314139
Led Zeppelin,Untitled,1971,5605451,5605451
Jimi Hendrix,War Heroes,1972,4183308,4183308
King Ghidra,Take Me To Your Leader,2016,9028545,9028545
Hockey Dad,Blend Inn,2023,26418812,26418812
Bootleg Rascal,"Psychotica EP / C.O.V.I.D ""19 EP",2022,23297564,23297564
Jack Johnson,In Between Dreams,2023,25980244,25980244
Crowded House,Woodface,2016,9511520,9511520
Toro Y Moi,Outer Peace,2019,13089294,13089294
Peking Man,Good Luck To You,1986,1002664,1002664
Bob Dylan,Desire,1976,20970523,20970523
Simon & Garfunkel,Bridge Over Troubled Water,1978,12435840,12435840
Toto,Toto IV,1982,386005,386005
The Proclaimers,This Is The Story,1987,2569316,2569316
Bob Dylan,Nashville Skyline,1974,5190693,5190693
Bruce Springsteen,Born In The U.S.A.,1984,8128857,8128857
Luke Combs,This One's For You Too,2018,12828575,12828575
Harry Styles,Harry’s House,2022,23510036,23510036
John Mayer,Continuum,2010,19175407,19175407
Elton John,Greatest Hits,1974,666519,666519
Elton John,Goodbye Yellow Brick Road,1973,2468437,2468437
Rage Against The Machine,Rage Against The Machine,2015,10227747,10227747
Rage Against The Machine,The Battle Of Los Angeles,2022,25862725,25862725
Guns N' Roses,Appetite For Destruction,2022,23925818,23925818
Tame Impala,Currents,2023,26698010,26698010
Johnny Cash,The Legend Of Johnny Cash,2014,30977797,30977797
Bon Iver,"For Emma, Forever Ago",2013,4991268,4991268
Sharon Van Etten,Tramp,2012,3387096,3387096
Steppenwolf,16 Greatest Hits,1984,7371707,7371707
John Mayer Trio,Try!,2011,3478030,3478030
London Philharmonic Orchestra,Music From Star Wars,1977,5447029,5447029
Leisure (13),Sunsetter,2022,24089201,24089201
Mako Road,Stranger Days,2021,29287687,29287687
David Bowie,ChangesOneBowie,2016,8518115,8518115
The Mockers,Culprit And The King,1985,1583335,1583335
John Denver,An Evening With John Denver,1975,934085,934085
The Mockers,Caught In The Act,1984,6010280,6010280
The Rolling Stones,Some Girls,1978,4822673,4822673
The Rolling Stones,It's Only Rock 'N Roll,1974,4837255,4837255
Foo Fighters,Skin And Bones,2011,15744805,15744805
Arcade Fire,Everything Now,2017,10621369,10621369
Kendrick Lamar,Untitled Unmastered.,2016,13059611,13059611
The Who,Who's Next,2012,4315206,4315206
Arlo Parks,Collapsed In Sunbeams,2021,20410234,20410234
Lorde,Pure Heroine,0,17566219,17566219
Elemeno P,Elemeno P,2021,17450896,17450896
Dire Straits,Brothers In Arms,1985,640458,640458
Queen,Greatest Hits II,2016,9370710,9370710
The Verve,Urban Hymns,2016,9057753,9057753
Van Halen,Van Halen II,2015,8458198,8458198
Muse,Simulation Theory,2018,12764999,12764999
Fleetwood Mac,Rumours,0,24006875,24006875
Muse,Black Holes And Revelations,2020,15996141,15996141
The Cure,Standing On A Beach - The Singles,1986,695634,695634
The Cure,Kiss Me Kiss Me Kiss Me,1987,1520042,1520042
The Weeknd,Starboy,2017,9778270,9778270
Dance Exponents,Amplifier,1986,2002873,2002873
